Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-18	Hankasalmi, Laukaa	Pohjois-Häme (PH)	Suomi	62.338743	26.321227	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-17	Espoo	Uusimaa (U)	Suomi	60.29348	24.56166		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-17	Hankasalmi	Pohjois-Häme (PH)	Suomi	62.241687	26.43422		NEUTRAL	Fungal collection of the Botanical Museum, University of Oulu (OULU)
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-17 [17:21]	Hankasalmi	Pohjois-Häme (PH)	Suomi	62.241684	26.43422	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-14	Parainen	Varsinais-Suomi (V)	Suomi	60.33481	22.13871		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-13 [9:34-10:29]	Helsinki	Uusimaa (U)	Suomi	60.243685	25.203001	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-13 [9:34-10:29]	Helsinki	Uusimaa (U)	Suomi	60.243685	25.203001	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-11	Porvoo	Uusimaa (U)	Suomi	60.365527	25.702679	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-11	Helsinki	Uusimaa (U)	Suomi	60.20422	24.90988		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-11	Porvoo	Uusimaa (U)	Suomi	60.365531	25.702676		NEUTRAL	Fungal collection of the Botanical Museum, University of Oulu (OULU)
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-10	Imatra	Etelä-Savo (ES)	Suomi	61.20686	28.74649		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-10	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.202402	25.140293	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-10	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.209379	25.125021	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	>40	2025-09-10	Laihia	Etelä-Pohjanmaa (EP)	Suomi	62.808674	21.931911	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-09	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.21461	25.135078	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	20	2025-09-09	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.063668	25.037434	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-09 [10:57-10:57]	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.216251	25.134927	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-09	Espoo	Uusimaa (U)	Suomi	60.24745	24.82168		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
