Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-04-02	Imatra	Etelä-Savo (ES)	Suomi	61.19639	28.72965		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-11-12	Närpiö	Etelä-Pohjanmaa (EP)	Suomi	62.53992	21.12417		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	1 runko	2025-09-29	Tyrnävä	Oulun Pohjanmaa (OP)	Suomi	64.774295	25.762695	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	1 runko	2025-09-25	Kuusamo	Koillismaa (Ks)	Suomi	66.307075	28.604494	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	pari	2025-08-03	Loviisa	Uusimaa (U)	Suomi	60.521648	26.040968	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-14	Taivalkoski	Koillismaa (Ks)	Suomi	65.64678	27.9207		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	15	2025-06-12	Kittilä	Kittilän Lappi (KiL)	Suomi	67.80631	24.825261	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-11	Isojoki	Etelä-Pohjanmaa (EP)	Suomi	62.12321	21.75918		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-10	Suomussalmi	Kainuu (Kn)	Suomi	65.51036	29.3178		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-10	Muonio	Kittilän Lappi (KiL)	Suomi	68.01207	24.12964		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-10	Muhos	Oulun Pohjanmaa (OP)	Suomi	64.751	26.144		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-09	Inari	Inarin Lappi (InL)	Suomi	68.8242	27.7873		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-09	Sotkamo	Kainuu (Kn)	Suomi	63.90179	28.98528		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	5	2025-06-08	Pyhäjärvi	Keski-Pohjanmaa (KP)	Suomi	63.76667	26.06778	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-08	Iisalmi	Pohjois-Savo (PS)	Suomi	63.65321	27.19396		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-07	Savonlinna	Etelä-Savo (ES)	Suomi	61.87847	28.99015		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2025-06-07	Kemijärvi	Perä-Pohjanmaa (PeP)	Suomi	67.00865	27.22379		NEUTRAL	iNaturalist Suomi Finland
