Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-31	Kaavi	Pohjois-Karjala (PK)	Suomi	63.02924	28.52137		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-30	Lahti	Etelä-Häme (EH)	Suomi	61.01349	25.69005		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-30	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.33479	27.31153		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-30	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.32899	27.27879		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-30	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.50455	25.72907		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-30	Orimattila	Uusimaa (U)	Suomi	60.814224	25.866412	Sure	NEUTRAL	Notebook, general observations
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-30	Kinnula	Pohjois-Häme (PH)	Suomi	63.30744	25.10338		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-29	Joensuu	Pohjois-Karjala (PK)	Suomi	62.40931	30.17654		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-29	Espoo	Uusimaa (U)	Suomi	60.266506	24.646683	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-29	Kuusamo	Koillismaa (Ks)	Suomi	66.1	29.1		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-28	Viitasaari	Pohjois-Häme (PH)	Suomi	63.07342	25.85974		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-28	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.49024	25.79912		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-28	Äänekoski	Pohjois-Häme (PH)	Suomi	62.83243	25.76841		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-28	Ruovesi	Etelä-Häme (EH)	Suomi	62.0656	24.0038		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-28	Kokkola	Keski-Pohjanmaa (KP)	Suomi	64.05756	23.47054		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-28	Kuopio	Pohjois-Savo (PS)	Suomi	62.90783	27.56281		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Kuopio, Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.3		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Ylivieska	Keski-Pohjanmaa (KP)	Suomi	63.96026	24.53471		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Ylivieska	Keski-Pohjanmaa (KP)	Suomi	63.96038	24.53458		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
