Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-19	Kuopio, Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.3		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-19	Vihti	Varsinais-Suomi (V)	Suomi	60.324318	24.441272		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-18	Sipoo	Uusimaa (U)	Suomi	60.35345	25.19931		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-18	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.25177	25.58712		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-18	Porvoo	Uusimaa (U)	Suomi	60.34858	25.61133		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-17	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.29949	25.74219		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-16	Kaarina, Lieto, Masku, Nousiainen, Raisio, Rusko, Turku	Varsinais-Suomi (V)	Suomi	60.5	22.3		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-16	Lahti	Etelä-Häme (EH)	Suomi	60.99948	25.55997		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-15	Hanko	Uusimaa (U)	Suomi	59.904288	23.196764	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-15	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.24775	25.63625		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-15	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.24662	25.64117		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-15	Salo	Varsinais-Suomi (V)	Suomi	60.1767	23.27677		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-14	Suonenjoki	Pohjois-Savo (PS)	Suomi	62.50761	27.2382		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-14	Heinola	Etelä-Häme (EH)	Suomi	61.29035	26.1986		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-14	Eurajoki	Satakunta (St)	Suomi	61.19487	21.67566		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-14	Porvoo	Uusimaa (U)	Suomi	60.36164	25.72228		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-13	Hanko	Uusimaa (U)	Suomi	59.85519	23.071058	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-13	Sastamala	Satakunta (St)	Suomi	61.379421	23.162378	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-12	Imatra	Etelä-Savo (ES)	Suomi	61.2154	28.7665		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-12	Vihti	Varsinais-Suomi (V)	Suomi	60.31589	24.29807		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-12	Salo	Varsinais-Suomi (V)	Suomi	60.17735	23.27662		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-12	Kouvola	Etelä-Savo (ES)	Suomi	61.17028	26.8506		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-12	Hämeenkyrö	Satakunta (St)	Suomi	61.56496	23.09387		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-12	Sastamala	Satakunta (St)	Suomi	61.394988	23.072837	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-11	Espoo	Uusimaa (U)	Suomi	60.330153	24.694964	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-11	Heinola	Etelä-Häme (EH)	Suomi	61.34008	26.18461		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-11	Juuka	Pohjois-Karjala (PK)	Suomi	63.41414	29.09394		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-11	Orimattila	Uusimaa (U)	Suomi	60.7418	26.11398		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-11	Helsinki	Uusimaa (U)	Suomi	60.21836	24.91894		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-11 [10:17]	Tampere	Etelä-Häme (EH)	Suomi	61.468528	23.813734	Sure	NEUTRAL	Notebook, general observations
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-10	Vaala	Kainuu (Kn), Oulun Pohjanmaa (OP)	Suomi	64.5	26.7		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-10	Espoo	Uusimaa (U)	Suomi	60.19949	24.73105		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-10	Salo	Varsinais-Suomi (V)	Suomi	60.17675	23.27677		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-10	Luumäki	Etelä-Savo (ES)	Suomi	60.99229	27.63745		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-10	Porvoo	Uusimaa (U)	Suomi	60.35488	25.60357		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)	Useita	2025-10-10	Raahe	Keski-Pohjanmaa (KP)	Suomi	64.563606	24.597339	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-09	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.23745	25.6343		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-09	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.24142	25.6313		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-09	Espoo	Uusimaa (U)	Suomi	60.270006	24.700707		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-08 [9:19-15:04]	Raasepori	Varsinais-Suomi (V)	Suomi	60.125916	23.533877	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-07	Espoo	Uusimaa (U)	Suomi	60.196775	24.630949		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-06	Salo	Varsinais-Suomi (V)	Suomi	60.17676	23.27677		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-05	Jämsä	Etelä-Häme (EH)	Suomi	61.739548	25.303171	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-04	Aura, Lieto, Masku, Mynämäki, Nousiainen, Pöytyä, Rusko, Turku	Satakunta (St), Varsinais-Suomi (V)	Suomi	60.7	22.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-04	Porvoo	Uusimaa (U)	Suomi	60.36217	25.66919		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-04	Sund	Ahvenanmaa (A)	Suomi	60.28056	20.15419		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-03	Lohja	Varsinais-Suomi (V)	Suomi	60.228046	23.863996	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)	100+	2025-10-02	Loppi	Etelä-Häme (EH)	Suomi	60.667991	24.335186	Sure	NEUTRAL	Notebook, general observations
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-02	Raasepori	Uusimaa (U)	Suomi	59.943998	23.509586	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-02	Närpiö	Etelä-Pohjanmaa (EP)	Suomi	62.47284	21.33715		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-01	Raasepori	Uusimaa (U), Varsinais-Suomi (V)	Suomi	60.008326	23.494959	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-01	Joensuu	Pohjois-Karjala (PK)	Suomi	62.55837	30.17677		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-01	Vihti	Varsinais-Suomi (V)	Suomi	60.32406	24.49125		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-30	Tampere	Etelä-Häme (EH)	Suomi	61.51797	23.868027	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-30	Vihti	Varsinais-Suomi (V)	Suomi	60.381118	24.506133	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-30	Siilinjärvi	Pohjois-Savo (PS)	Suomi	63.01575	27.44045		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-30	Vesilahti	Etelä-Häme (EH)	Suomi	61.2308	23.52803		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-30	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.21198	25.65317		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-29	Vihti	Varsinais-Suomi (V)	Suomi	60.540033	24.556259	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-09-29	Raasepori	Uusimaa (U), Varsinais-Suomi (V)	Suomi	60.006156	23.492708	Sure	NEUTRAL	The Atlas of Finnish Fungi
